name,numberOfStory
30 December (no interior column) model.EDB,13
airresst6crk12st2pwfg_MCE-Semi Rigid Diaphragm-R01(20150316).EDB,60
Asian Plaza Crack (20120126).EDB,4
Skysuites-st12b.EDB,4
